"Dimension.MONTH_AND_YEAR","Dimension.CREATIVE_SIZE","Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS","1006611"
"2015-06","728 x 90","11846991","5184"
"2015-07","160 x 600","306892","5184"
"2015-07","300 x 250","1301420","5184"
"2015-07","728 x 90","3154657","5184"
"2015-08","300 x 250","939378","5184"
"2015-08","728 x 90","1450616","5184"
"2015-09","300 x 250","848329","5184"
"2015-09","728 x 90","1102265","5184"
"2015-10","300 x 250","982194","5184"
"2015-10","320 x 50","22000","5184"
"2015-10","640 x 480v","5052","5184"
"2015-10","728 x 90","1238767","5184"
"2015-11","300 x 250","494936","5184"
"2015-11","320 x 50","79948","5184"
"2015-11","640 x 480v","56609","5184"
"2015-11","728 x 90","1042394","5184"
"2015-12","300 x 250","572235","5184"
"2015-12","320 x 50","79951","5184"
"2015-12","640 x 480v","34219","5184"
"2015-12","728 x 90","1060331","5184"
"2016-01","300 x 250","988292","5184"
"2016-01","320 x 50","72747","5184"
"2016-01","640 x 480v","1908","5184"
"2016-01","728 x 90","1196916","5184"
"2016-02","300 x 250","831667","5184"
"2016-02","640 x 480v","3","5184"
"2016-02","728 x 90","1023240","5184"
"2016-03","300 x 250","1026258","5184"
"2016-03","640 x 480v","34241","5184"
"2016-03","728 x 90","1120205","5184"
"2016-04","300 x 250","929609","5184"
"2016-04","640 x 480v","78369","5184"
"2016-04","728 x 90","990632","5184"
"2016-05","300 x 250","728253","5184"
"2016-05","640 x 480v","75955","5184"
"2016-05","728 x 90","777235","5184"
"Dimension.MONTH_AND_YEAR","Dimension.CREATIVE_SIZE","Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS","52681147"
"2015-06","2 x 2","154107","52681147"
"2015-06","300 x 250","2427391","52681147"
"2015-06","336 x 25","189592","52681147"
"2015-06","640 x 480v","10","52681147"
"2015-06","728 x 90","1360506","52681147"
"2015-07","300 x 250","2164631","52681147"
"2015-07","336 x 25","92141","52681147"
"2015-07","728 x 90","1233813","52681147"
"2015-08","300 x 250","3227465","52681147"
"2015-08","336 x 25","179082","52681147"
"2015-08","728 x 90","1753217","52681147"
"2015-09","2 x 2","33026","52681147"
"2015-09","300 x 250","2092267","52681147"
"2015-09","336 x 25","46209","52681147"
"2015-09","728 x 90","1186812","52681147"
"2015-10","1 x 2","181177","52681147"
"2015-10","2 x 2","144207","52681147"
"2015-10","300 x 250","2545692","52681147"
"2015-10","336 x 25","112445","52681147"
"2015-10","728 x 90","1392071","52681147"
"2015-11","1 x 2","141930","52681147"
"2015-11","2 x 2","377586","52681147"
"2015-11","300 x 250","3424364","52681147"
"2015-11","336 x 25","163276","52681147"
"2015-11","728 x 90","1937131","52681147"
"2015-12","1 x 2","35095","52681147"
"2015-12","2 x 2","80860","52681147"
"2015-12","300 x 250","2064639","52681147"
"2015-12","336 x 25","111485","52681147"
"2015-12","728 x 90","1188520","52681147"
"2016-01","1 x 2","17415","52681147"
"2016-01","2 x 2","83012","52681147"
"2016-01","300 x 250","2162057","52681147"
"2016-01","336 x 25","113433","52681147"
"2016-01","728 x 90","1415309","52681147"
"2016-02","1 x 2","59225","52681147"
"2016-02","2 x 2","121591","52681147"
"2016-02","300 x 250","2355459","52681147"
"2016-02","336 x 25","89276","52681147"
"2016-02","728 x 90","1533747","52681147"
"2016-03","1 x 2","75482","52681147"
"2016-03","2 x 2","119385","52681147"
"2016-03","300 x 250","3123509","52681147"
"2016-03","336 x 25","119850","52681147"
"2016-03","728 x 90","1836977","52681147"
"2016-04","1 x 2","37639","52681147"
"2016-04","2 x 2","78189","52681147"
"2016-04","300 x 250","2775671","52681147"
"2016-04","336 x 25","262473","52681147"
"2016-04","728 x 90","1723419","52681147"
"2016-05","1 x 2","5415","52681147"
"2016-05","2 x 2","45756","52681147"
"2016-05","300 x 250","2340408","52681147"
"2016-05","336 x 25","112060","52681147"
"2016-05","728 x 90","1429237","52681147"
"Dimension.MONTH_AND_YEAR","Dimension.CREATIVE_SIZE","Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS","5388645"
"2015-06","160 x 600","242","5388645"
"2015-06","261 x 565","88431","5388645"
"2015-06","300 x 250","3856162","5388645"
"2015-06","300 x 300","224685","5388645"
"2015-06","300 x 50","224858","5388645"
"2015-06","615 x 272","418524","5388645"
"2015-06","728 x 300","2","5388645"
"2015-06","728 x 90","156","5388645"
"2015-06","980 x 300","4","5388645"
"2015-07","160 x 600","233","5388645"
"2015-07","261 x 565","86872","5388645"
"2015-07","300 x 250","3413064","5388645"
"2015-07","300 x 300","201553","5388645"
"2015-07","300 x 50","201877","5388645"
"2015-07","615 x 272","1007761","5388645"
"2015-07","728 x 90","136","5388645"
"2015-07","980 x 300","2","5388645"
"2015-08","160 x 600","101","5388645"
"2015-08","261 x 565","135830","5388645"
"2015-08","300 x 250","3082741","5388645"
"2015-08","300 x 300","202098","5388645"
"2015-08","300 x 50","201982","5388645"
"2015-08","610 x 300","1","5388645"
"2015-08","615 x 272","2960110","5388645"
"2015-08","728 x 300","1","5388645"
"2015-08","728 x 90","65","5388645"
"2015-08","980 x 300","2","5388645"
"2015-09","160 x 600","130","5388645"
"2015-09","261 x 565","104772","5388645"
"2015-09","300 x 250","3297531","5388645"
"2015-09","300 x 300","191841","5388645"
"2015-09","300 x 50","190411","5388645"
"2015-09","610 x 300","1","5388645"
"2015-09","615 x 272","4431585","5388645"
"2015-09","728 x 90","81","5388645"
"2015-10","160 x 600","101","5388645"
"2015-10","261 x 565","35652","5388645"
"2015-10","300 x 250","3294184","5388645"
"2015-10","300 x 300","186225","5388645"
"2015-10","300 x 50","185094","5388645"
"2015-10","615 x 272","3567290","5388645"
"2015-10","728 x 90","62","5388645"
"2015-10","980 x 300","5","5388645"
"2015-11","160 x 600","1299","5388645"
"2015-11","261 x 565","17927","5388645"
"2015-11","300 x 250","2162485","5388645"
"2015-11","300 x 300","124287","5388645"
"2015-11","300 x 50","123352","5388645"
"2015-11","610 x 300","1","5388645"
"2015-11","615 x 272","2730718","5388645"
"2015-11","728 x 90","668","5388645"
"2015-11","980 x 300","2","5388645"
"2015-12","160 x 600","3583","5388645"
"2015-12","261 x 565","1","5388645"
"2015-12","300 x 250","79956","5388645"
"2015-12","300 x 300","1517","5388645"
"2015-12","300 x 50","1486","5388645"
"2015-12","615 x 272","60944","5388645"
"2015-12","728 x 90","1798","5388645"
"2016-01","160 x 600","2622","5388645"
"2016-01","261 x 565","125","5388645"
"2016-01","300 x 250","69685","5388645"
"2016-01","300 x 300","1098","5388645"
"2016-01","300 x 50","1079","5388645"
"2016-01","728 x 300","1","5388645"
"2016-01","728 x 90","1316","5388645"
"2016-01","980 x 300","3","5388645"
"2016-02","160 x 600","4","5388645"
"2016-02","300 x 250","9","5388645"
"2016-02","300 x 300","4","5388645"
"2016-02","300 x 50","2","5388645"
"2016-02","728 x 90","2","5388645"
"2016-03","160 x 600","5","5388645"
"2016-03","728 x 300","1","5388645"
"2016-03","728 x 90","5","5388645"
"2016-03","980 x 300","1","5388645"
"2016-04","160 x 600","8","5388645"
"2016-04","300 x 250","1","5388645"
"2016-04","300 x 300","2","5388645"
"2016-04","300 x 50","1","5388645"
"2016-04","728 x 90","9","5388645"
"2016-05","160 x 600","4","5388645"
"2016-05","728 x 90","6","5388645"
"Dimension.MONTH_AND_YEAR","Dimension.CREATIVE_SIZE","Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS","5431"
"2015-06","1024 x 690","232","5431"
"2015-06","1024 x 748","2640","5431"
"2015-06","1024 x 768","1894167","5431"
"2015-06","1280 x 720","309","5431"
"2015-06","1280 x 752","2656","5431"
"2015-06","177 x 53","4429","5431"
"2015-06","185 x 60","8","5431"
"2015-06","320 x 460","1847","5431"
"2015-06","320 x 548","3272","5431"
"2015-06","360 x 560","494","5431"
"2015-06","360 x 580","10","5431"
"2015-06","360 x 600","860","5431"
"2015-06","375 x 647","207","5431"
"2015-06","400 x 648","220","5431"
"2015-06","414 x 716","382","5431"
"2015-06","728 x 90","4878","5431"
"2015-06","768 x 1004","1736","5431"
"2015-06","885 x 509","1051","5431"
"2015-07","1024 x 690","194","5431"
"2015-07","1024 x 748","2212","5431"
"2015-07","1024 x 768","1941527","5431"
"2015-07","1280 x 752","2147","5431"
"2015-07","177 x 53","2847","5431"
"2015-07","185 x 60","6","5431"
"2015-07","320 x 460","292","5431"
"2015-07","320 x 548","1762","5431"
"2015-07","360 x 560","686","5431"
"2015-07","360 x 600","2325","5431"
"2015-07","375 x 647","915","5431"
"2015-07","400 x 648","382","5431"
"2015-07","414 x 716","1116","5431"
"2015-07","768 x 1004","820","5431"
"2015-07","885 x 509","759","5431"
"2015-08","1024 x 690","725","5431"
"2015-08","1024 x 748","3656","5431"
"2015-08","1024 x 768","2259172","5431"
"2015-08","1280 x 720","635","5431"
"2015-08","1280 x 752","2503","5431"
"2015-08","177 x 53","128","5431"
"2015-08","320 x 460","204","5431"
"2015-08","320 x 548","3944","5431"
"2015-08","360 x 560","1128","5431"
"2015-08","360 x 600","2821","5431"
"2015-08","375 x 647","1598","5431"
"2015-08","400 x 648","804","5431"
"2015-08","414 x 716","1791","5431"
"2015-08","768 x 1004","1261","5431"
"2015-08","885 x 509","1842","5431"
"2015-09","1024 x 690","3550","5431"
"2015-09","1024 x 748","721518","5431"
"2015-09","1024 x 768","2518803","5431"
"2015-09","1280 x 720","267197","5431"
"2015-09","1280 x 752","68985","5431"
"2015-09","320 x 460","121769","5431"
"2015-09","320 x 548","841336","5431"
"2015-09","360 x 560","142958","5431"
"2015-09","360 x 600","1018323","5431"
"2015-09","375 x 647","1124571","5431"
"2015-09","400 x 648","102978","5431"
"2015-09","414 x 716","501491","5431"
"2015-09","768 x 1004","174735","5431"
"2015-09","885 x 509","87494","5431"
"2015-10","1024 x 690","16551","5431"
"2015-10","1024 x 748","767228","5431"
"2015-10","1024 x 768","2673309","5431"
"2015-10","1280 x 720","230635","5431"
"2015-10","1280 x 752","51744","5431"
"2015-10","320 x 460","130103","5431"
"2015-10","320 x 548","868482","5431"
"2015-10","360 x 560","131836","5431"
"2015-10","360 x 600","960896","5431"
"2015-10","375 x 647","1389955","5431"
"2015-10","400 x 648","122792","5431"
"2015-10","414 x 716","610512","5431"
"2015-10","768 x 1004","145195","5431"
"2015-10","885 x 509","76855","5431"
"2015-11","1024 x 690","20172","5431"
"2015-11","1024 x 748","776070","5431"
"2015-11","1024 x 768","2701976","5431"
"2015-11","1280 x 720","260431","5431"
"2015-11","1280 x 752","53634","5431"
"2015-11","320 x 460","74315","5431"
"2015-11","320 x 548","862370","5431"
"2015-11","360 x 560","138499","5431"
"2015-11","360 x 600","968264","5431"
"2015-11","375 x 647","1563893","5431"
"2015-11","400 x 648","154596","5431"
"2015-11","414 x 716","692404","5431"
"2015-11","768 x 1004","146933","5431"
"2015-11","885 x 509","77730","5431"
"2015-12","1024 x 690","18165","5431"
"2015-12","1024 x 748","618329","5431"
"2015-12","1024 x 768","2666208","5431"
"2015-12","1280 x 720","224830","5431"
"2015-12","1280 x 752","48740","5431"
"2015-12","320 x 460","53994","5431"
"2015-12","320 x 548","655919","5431"
"2015-12","360 x 560","112494","5431"
"2015-12","360 x 600","750034","5431"
"2015-12","375 x 647","1314263","5431"
"2015-12","400 x 648","147137","5431"
"2015-12","414 x 716","587822","5431"
"2015-12","768 x 1004","120276","5431"
"2015-12","885 x 509","61776","5431"
"2016-01","1024 x 690","4007","5431"
"2016-01","1024 x 748","128664","5431"
"2016-01","1024 x 768","2827972","5431"
"2016-01","1280 x 720","61899","5431"
"2016-01","1280 x 752","11122","5431"
"2016-01","320 x 460","10200","5431"
"2016-01","320 x 548","124914","5431"
"2016-01","360 x 560","22151","5431"
"2016-01","360 x 600","145467","5431"
"2016-01","375 x 647","261923","5431"
"2016-01","400 x 648","31806","5431"
"2016-01","414 x 716","119088","5431"
"2016-01","768 x 1004","26571","5431"
"2016-01","885 x 509","13940","5431"
"2016-02","1 x 2","4871","5431"
"2016-02","1024 x 1366","11","5431"
"2016-02","1024 x 690","256","5431"
"2016-02","1024 x 748","760","5431"
"2016-02","1024 x 768","2467079","5431"
"2016-02","1280 x 720","11784","5431"
"2016-02","1280 x 752","28","5431"
"2016-02","1366 x 1024","3","5431"
"2016-02","300 x 250","2","5431"
"2016-02","320 x 460","54","5431"
"2016-02","320 x 548","347","5431"
"2016-02","360 x 560","819","5431"
"2016-02","360 x 600","765","5431"
"2016-02","375 x 647","283","5431"
"2016-02","400 x 648","875","5431"
"2016-02","414 x 716","486","5431"
"2016-02","768 x 1004","469","5431"
"2016-02","885 x 509","111","5431"
"2016-03","1 x 2","5037","5431"
"2016-03","1024 x 1366","10","5431"
"2016-03","1024 x 690","93","5431"
"2016-03","1024 x 748","782","5431"
"2016-03","1024 x 768","2914451","5431"
"2016-03","1280 x 720","5707","5431"
"2016-03","1280 x 752","291","5431"
"2016-03","1366 x 1024","28","5431"
"2016-03","320 x 460","67","5431"
"2016-03","320 x 548","62","5431"
"2016-03","360 x 560","602","5431"
"2016-03","360 x 600","678","5431"
"2016-03","375 x 647","145","5431"
"2016-03","400 x 648","733","5431"
"2016-03","414 x 716","241","5431"
"2016-03","768 x 1004","195","5431"
"2016-03","885 x 509","24","5431"
"2016-04","1 x 2","9858","5431"
"2016-04","1024 x 1366","47","5431"
"2016-04","1024 x 690","347","5431"
"2016-04","1024 x 748","1068","5431"
"2016-04","1024 x 768","3082406","5431"
"2016-04","1280 x 752","382","5431"
"2016-04","1366 x 1024","54","5431"
"2016-04","320 x 460","72","5431"
"2016-04","320 x 548","48","5431"
"2016-04","360 x 560","212","5431"
"2016-04","360 x 600","1446","5431"
"2016-04","375 x 647","440","5431"
"2016-04","400 x 648","2104","5431"
"2016-04","414 x 716","1049","5431"
"2016-04","768 x 1004","724","5431"
"2016-04","885 x 509","666","5431"
"2016-05","1 x 2","1093","5431"
"2016-05","1024 x 768","3245148","5431"
"Dimension.MONTH_AND_YEAR","Dimension.CREATIVE_SIZE","Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS","5565"
"2015-06","1 x 1v","8095","5565"
"2015-06","300 x 250","43680218","5565"
"2015-06","300 x 50","2434846","5565"
"2015-06","320 x 50","6175840","5565"
"2015-06","640 x 480v","46621","5565"
"2015-06","728 x 90","31189177","5565"
"2015-07","1 x 1v","244","5565"
"2015-07","300 x 250","33257703","5565"
"2015-07","300 x 50","2066270","5565"
"2015-07","300 x 600","76","5565"
"2015-07","320 x 50","4546267","5565"
"2015-07","640 x 480v","1426","5565"
"2015-07","728 x 90","23144239","5565"
"2015-07","970 x 90","43","5565"
"2015-08","1 x 1v","2","5565"
"2015-08","300 x 250","13861624","5565"
"2015-08","300 x 50","1974209","5565"
"2015-08","300 x 600","3735","5565"
"2015-08","320 x 50","929","5565"
"2015-08","728 x 90","7964838","5565"
"2015-08","970 x 90","4489","5565"
"2015-09","1 x 1v","1","5565"
"2015-09","300 x 250","15154352","5565"
"2015-09","300 x 50","2310906","5565"
"2015-09","300 x 600","10294","5565"
"2015-09","320 x 50","599","5565"
"2015-09","640 x 480v","3","5565"
"2015-09","728 x 90","8385731","5565"
"2015-09","970 x 90","10630","5565"
"2015-10","1 x 1v","3","5565"
"2015-10","300 x 250","20325797","5565"
"2015-10","300 x 50","2578316","5565"
"2015-10","320 x 50","411","5565"
"2015-10","728 x 90","8482451","5565"
"2015-11","1 x 1v","4","5565"
"2015-11","300 x 250","19170253","5565"
"2015-11","300 x 50","2096678","5565"
"2015-11","320 x 50","400","5565"
"2015-11","728 x 90","6240618","5565"
"2015-12","1 x 1v","5","5565"
"2015-12","300 x 250","20492458","5565"
"2015-12","300 x 50","3083702","5565"
"2015-12","320 x 50","292","5565"
"2015-12","728 x 90","6782590","5565"
"2016-01","300 x 250","12608114","5565"
"2016-01","300 x 50","1936388","5565"
"2016-01","320 x 50","173","5565"
"2016-01","728 x 90","4711186","5565"
"2016-02","1 x 1v","1","5565"
"2016-02","300 x 250","12211215","5565"
"2016-02","300 x 50","1703097","5565"
"2016-02","320 x 50","68","5565"
"2016-02","728 x 90","4159042","5565"
"2016-03","300 x 250","12553185","5565"
"2016-03","300 x 50","1836665","5565"
"2016-03","320 x 50","1","5565"
"2016-03","728 x 90","4201181","5565"
"2016-03","Out-of-page","42","5565"
"2016-04","300 x 250","11963379","5565"
"2016-04","300 x 50","1530472","5565"
"2016-04","728 x 90","3496199","5565"
"2016-04","Out-of-page","18061","5565"
"2016-05","300 x 250","10971913","5565"
"2016-05","300 x 50","1370049","5565"
"2016-05","320 x 50","1","5565"
"2016-05","728 x 90","3077464","5565"
"2016-05","Out-of-page","32617","5565"
"Dimension.MONTH_AND_YEAR","Dimension.CREATIVE_SIZE","Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS","5578"
"2015-06","1 x 1","11024828","5578"
"2015-06","1040 x 400","1616","5578"
"2015-06","140 x 130","5135275","5578"
"2015-06","160 x 600","444551","5578"
"2015-06","180 x 150","5807","5578"
"2015-06","2 x 1","36977","5578"
"2015-06","200 x 200","8727","5578"
"2015-06","3 x 1","2956571","5578"
"2015-06","300 x 100","2839680","5578"
"2015-06","300 x 1050","842249","5578"
"2015-06","300 x 250","135704010","5578"
"2015-06","300 x 250v","1422","5578"
"2015-06","300 x 300","65590","5578"
"2015-06","300 x 50","193882","5578"
"2015-06","300 x 600","18408398","5578"
"2015-06","320 x 150","106000","5578"
"2015-06","320 x 50","45612631","5578"
"2015-06","600 x 258","42","5578"
"2015-06","620 x 40","338","5578"
"2015-06","640 x 480v","51579","5578"
"2015-06","728 x 90","70054329","5578"
"2015-06","900 x 120","3010526","5578"
"2015-06","940 x 300","487382","5578"
"2015-06","970 x 250","8991957","5578"
"2015-06","970 x 90","3084267","5578"
"2015-06","Out-of-page","14911704","5578"
"2015-07","1 x 1","7505727","5578"
"2015-07","1040 x 400","2412","5578"
"2015-07","140 x 130","1040200","5578"
"2015-07","160 x 600","417151","5578"
"2015-07","180 x 150","2452313","5578"
"2015-07","1920 x 1200","6328","5578"
"2015-07","1920 x 1300","43948","5578"
"2015-07","2 x 1","2121502","5578"
"2015-07","200 x 200","8890","5578"
"2015-07","3 x 1","1135787","5578"
"2015-07","300 x 100","2582309","5578"
"2015-07","300 x 1050","1229103","5578"
"2015-07","300 x 250","99465791","5578"
"2015-07","300 x 50","208079","5578"
"2015-07","300 x 600","13459429","5578"
"2015-07","320 x 50","43972468","5578"
"2015-07","463 x 1200","698","5578"
"2015-07","468 x 60","3","5578"
"2015-07","600 x 258","30","5578"
"2015-07","620 x 40","222","5578"
"2015-07","640 x 480v","55352","5578"
"2015-07","728 x 90","52486070","5578"
"2015-07","880 x 250","2272","5578"
"2015-07","900 x 120","3312911","5578"
"2015-07","940 x 300","594263","5578"
"2015-07","970 x 250","3748281","5578"
"2015-07","970 x 90","2769587","5578"
"2015-07","Out-of-page","14393953","5578"
"2015-08","1 x 1","6718467","5578"
"2015-08","1040 x 400","691","5578"
"2015-08","140 x 130","346","5578"
"2015-08","160 x 600","391749","5578"
"2015-08","180 x 150","2017733","5578"
"2015-08","1920 x 1200","67636","5578"
"2015-08","2 x 1","3461283","5578"
"2015-08","200 x 200","7402","5578"
"2015-08","300 x 100","3388524","5578"
"2015-08","300 x 1050","1021178","5578"
"2015-08","300 x 250","102910831","5578"
"2015-08","300 x 50","413368","5578"
"2015-08","300 x 600","14124043","5578"
"2015-08","320 x 50","40298243","5578"
"2015-08","463 x 1200","74533","5578"
"2015-08","600 x 258","14","5578"
"2015-08","620 x 40","176","5578"
"2015-08","640 x 480v","62252","5578"
"2015-08","728 x 90","59216313","5578"
"2015-08","900 x 120","3023541","5578"
"2015-08","940 x 300","483152","5578"
"2015-08","970 x 250","6596737","5578"
"2015-08","970 x 90","3121666","5578"
"2015-08","Out-of-page","12062435","5578"
"2015-09","1 x 1","7059721","5578"
"2015-09","140 x 130","163","5578"
"2015-09","160 x 600","909196","5578"
"2015-09","180 x 150","1731868","5578"
"2015-09","2 x 1","3519902","5578"
"2015-09","200 x 200","4486","5578"
"2015-09","300 x 100","3266373","5578"
"2015-09","300 x 1050","1366725","5578"
"2015-09","300 x 250","78400169","5578"
"2015-09","300 x 50","345569","5578"
"2015-09","300 x 600","12080969","5578"
"2015-09","320 x 50","41420917","5578"
"2015-09","463 x 1200","153645","5578"
"2015-09","468 x 60","681","5578"
"2015-09","600 x 258","13","5578"
"2015-09","620 x 40","141","5578"
"2015-09","640 x 480v","42237","5578"
"2015-09","728 x 90","36996944","5578"
"2015-09","900 x 120","3086161","5578"
"2015-09","940 x 300","388059","5578"
"2015-09","970 x 250","6371565","5578"
"2015-09","970 x 90","3417344","5578"
"2015-09","Out-of-page","7470899","5578"
"2015-10","1 x 1","7810412","5578"
"2015-10","140 x 130","104","5578"
"2015-10","160 x 600","763501","5578"
"2015-10","180 x 150","2054740","5578"
"2015-10","2 x 1","4271872","5578"
"2015-10","200 x 200","2322","5578"
"2015-10","300 x 100","3108154","5578"
"2015-10","300 x 1050","1594581","5578"
"2015-10","300 x 250","84172522","5578"
"2015-10","300 x 300","469627","5578"
"2015-10","300 x 50","172816","5578"
"2015-10","300 x 600","13183990","5578"
"2015-10","320 x 150","964610","5578"
"2015-10","320 x 50","42560991","5578"
"2015-10","463 x 1200","194372","5578"
"2015-10","468 x 60","1478","5578"
"2015-10","600 x 258","28","5578"
"2015-10","640 x 480v","46865","5578"
"2015-10","728 x 90","40209355","5578"
"2015-10","900 x 120","3476451","5578"
"2015-10","940 x 300","407439","5578"
"2015-10","970 x 250","6758425","5578"
"2015-10","970 x 90","2536208","5578"
"2015-10","Out-of-page","8970218","5578"
"2015-11","1 x 1","5478734","5578"
"2015-11","140 x 130","62","5578"
"2015-11","160 x 600","798685","5578"
"2015-11","180 x 150","1875438","5578"
"2015-11","2 x 1","4540587","5578"
"2015-11","200 x 200","1790","5578"
"2015-11","300 x 100","4274529","5578"
"2015-11","300 x 1050","1567714","5578"
"2015-11","300 x 250","89001262","5578"
"2015-11","300 x 300","257021","5578"
"2015-11","300 x 50","259000","5578"
"2015-11","300 x 600","11873209","5578"
"2015-11","320 x 150","452301","5578"
"2015-11","320 x 50","45696086","5578"
"2015-11","463 x 1200","251700","5578"
"2015-11","468 x 60","1274","5578"
"2015-11","600 x 258","9","5578"
"2015-11","640 x 480v","38684","5578"
"2015-11","728 x 90","38460359","5578"
"2015-11","900 x 120","2110968","5578"
"2015-11","940 x 300","309320","5578"
"2015-11","970 x 250","8040806","5578"
"2015-11","970 x 90","2830430","5578"
"2015-11","Out-of-page","14808110","5578"
"2015-12","1 x 1","6319552","5578"
"2015-12","140 x 130","29","5578"
"2015-12","160 x 600","2008817","5578"
"2015-12","180 x 150","2528171","5578"
"2015-12","2 x 1","6475730","5578"
"2015-12","200 x 200","1728","5578"
"2015-12","300 x 100","3215816","5578"
"2015-12","300 x 1050","1690396","5578"
"2015-12","300 x 250","97668401","5578"
"2015-12","300 x 50","313042","5578"
"2015-12","300 x 600","12276751","5578"
"2015-12","320 x 50","56135597","5578"
"2015-12","463 x 1200","64092","5578"
"2015-12","468 x 60","219","5578"
"2015-12","600 x 258","16","5578"
"2015-12","640 x 480v","26613","5578"
"2015-12","728 x 90","42100924","5578"
"2015-12","900 x 120","1777","5578"
"2015-12","940 x 300","290929","5578"
"2015-12","970 x 250","11683457","5578"
"2015-12","970 x 90","4385903","5578"
"2015-12","Out-of-page","14272203","5578"
"2016-01","1 x 1","7851756","5578"
"2016-01","140 x 130","60","5578"
"2016-01","160 x 600","661436","5578"
"2016-01","180 x 150","4710492","5578"
"2016-01","1920 x 1200","4","5578"
"2016-01","2 x 1","9758735","5578"
"2016-01","200 x 200","2187","5578"
"2016-01","300 x 100","3099326","5578"
"2016-01","300 x 1050","2581588","5578"
"2016-01","300 x 250","103106344","5578"
"2016-01","300 x 50","297669","5578"
"2016-01","300 x 600","15137740","5578"
"2016-01","320 x 50","58073806","5578"
"2016-01","463 x 1200","31174","5578"
"2016-01","468 x 60","112","5578"
"2016-01","600 x 258","19","5578"
"2016-01","640 x 480v","5819","5578"
"2016-01","728 x 90","49029688","5578"
"2016-01","900 x 120","1522","5578"
"2016-01","940 x 300","285044","5578"
"2016-01","970 x 250","14403869","5578"
"2016-01","970 x 90","1347446","5578"
"2016-01","Out-of-page","14523609","5578"
"2016-02","1 x 1","7850304","5578"
"2016-02","140 x 130","30","5578"
"2016-02","160 x 600","725988","5578"
"2016-02","180 x 150","5407146","5578"
"2016-02","1920 x 1200","41745","5578"
"2016-02","2 x 1","14505140","5578"
"2016-02","200 x 200","1857","5578"
"2016-02","300 x 100","2929840","5578"
"2016-02","300 x 1050","2698048","5578"
"2016-02","300 x 250","106906288","5578"
"2016-02","300 x 50","396598","5578"
"2016-02","300 x 600","20119291","5578"
"2016-02","320 x 50","64272491","5578"
"2016-02","468 x 60","77","5578"
"2016-02","600 x 258","20","5578"
"2016-02","640 x 480v","14975","5578"
"2016-02","728 x 90","48937576","5578"
"2016-02","900 x 120","1917","5578"
"2016-02","940 x 300","210415","5578"
"2016-02","970 x 250","19750312","5578"
"2016-02","970 x 90","1678879","5578"
"2016-02","Out-of-page","14175954","5578"
"2016-03","1 x 1","8003293","5578"
"2016-03","140 x 130","57","5578"
"2016-03","160 x 600","945511","5578"
"2016-03","180 x 150","1355466","5578"
"2016-03","2 x 1","8535321","5578"
"2016-03","200 x 200","2650","5578"
"2016-03","300 x 100","3037046","5578"
"2016-03","300 x 1050","2551918","5578"
"2016-03","300 x 250","96174342","5578"
"2016-03","300 x 50","424803","5578"
"2016-03","300 x 600","15202837","5578"
"2016-03","320 x 50","56795975","5578"
"2016-03","463 x 1200","28397","5578"
"2016-03","468 x 60","172","5578"
"2016-03","600 x 258","15","5578"
"2016-03","640 x 480v","43162","5578"
"2016-03","728 x 90","45250952","5578"
"2016-03","900 x 120","1853","5578"
"2016-03","940 x 30","10064","5578"
"2016-03","940 x 300","225557","5578"
"2016-03","970 x 250","12780475","5578"
"2016-03","970 x 90","1900600","5578"
"2016-03","Out-of-page","12959621","5578"
"2016-04","1 x 1","4882611","5578"
"2016-04","140 x 130","36","5578"
"2016-04","160 x 600","831595","5578"
"2016-04","180 x 150","211136","5578"
"2016-04","2 x 1","3189764","5578"
"2016-04","200 x 200","2471","5578"
"2016-04","300 x 100","2930374","5578"
"2016-04","300 x 1050","1908126","5578"
"2016-04","300 x 250","80949497","5578"
"2016-04","300 x 50","238363","5578"
"2016-04","300 x 600","10803298","5578"
"2016-04","320 x 50","51021751","5578"
"2016-04","468 x 60","79","5578"
"2016-04","600 x 258","4","5578"
"2016-04","640 x 480v","5726","5578"
"2016-04","728 x 90","40949885","5578"
"2016-04","900 x 120","172","5578"
"2016-04","940 x 30","16980","5578"
"2016-04","940 x 300","169","5578"
"2016-04","970 x 250","9266848","5578"
"2016-04","970 x 90","1139518","5578"
"2016-04","Out-of-page","9701190","5578"
"2016-05","1 x 1","3371677","5578"
"2016-05","140 x 130","41","5578"
"2016-05","160 x 600","557700","5578"
"2016-05","180 x 150","120778","5578"
"2016-05","2 x 1","43879","5578"
"2016-05","200 x 200","3168","5578"
"2016-05","300 x 100","2914102","5578"
"2016-05","300 x 1050","1798357","5578"
"2016-05","300 x 250","69730795","5578"
"2016-05","300 x 50","135393","5578"
"2016-05","300 x 600","8057324","5578"
"2016-05","320 x 50","41340018","5578"
"2016-05","468 x 60","1","5578"
"2016-05","640 x 480v","31259","5578"
"2016-05","728 x 90","35991358","5578"
"2016-05","940 x 30","27966","5578"
"2016-05","970 x 250","7791589","5578"
"2016-05","970 x 90","989619","5578"
"2016-05","Out-of-page","10143804","5578"
