"Dimension.MONTH_AND_YEAR","Dimension.CREATIVE_SIZE","Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS","1006611"
"2015-09","300 x 1050","133510","108939068"
"2015-09","300 x 250","126596852","108939068"
"2015-09","300 x 50","626133","108939068"
"2015-09","300 x 600","30203459","108939068"
"2015-09","320 x 50","57878516","108939068"
"2015-09","640 x 360v","337821","108939068"
"2015-09","728 x 90","79657086","108939068"
"2015-09","970 x 250","4191644","108939068"
"2015-09","970 x 66","169559","108939068"
"2015-09","Out-of-page","636414","108939068"
"2015-10","1 x 1","515","108939068"
"2015-10","160 x 600","55812845","108939068"
"2015-10","300 x 1050","708270","108939068"
"2015-10","300 x 250","219314641","108939068"
"2015-10","300 x 50","2992786","108939068"
"2015-10","300 x 600","68856784","108939068"
"2015-10","320 x 50","66383756","108939068"
"2015-10","640 x 360v","387203","108939068"
"2015-10","728 x 90","244688706","108939068"
"2015-10","970 x 250","3543846","108939068"
"2015-10","970 x 66","843550","108939068"
"2015-10","Out-of-page","1966542","108939068"
"2015-11","1 x 1","32","108939068"
"2015-11","160 x 600","63343220","108939068"
"2015-11","300 x 1050","187669","108939068"
"2015-11","300 x 250","299517328","108939068"
"2015-11","300 x 50","1992235","108939068"
"2015-11","300 x 600","75701939","108939068"
"2015-11","320 x 50","150290754","108939068"
"2015-11","640 x 360v","357118","108939068"
"2015-11","728 x 90","303416749","108939068"
"2015-11","970 x 250","3488291","108939068"
"2015-11","970 x 66","237206","108939068"
"2015-11","Out-of-page","4216796","108939068"
"2015-12","0 x 0","196179","108939068"
"2015-12","1 x 1","27","108939068"
"2015-12","160 x 600","46818443","108939068"
"2015-12","300 x 250","353663833","108939068"
"2015-12","300 x 50","287350","108939068"
"2015-12","300 x 600","92398549","108939068"
"2015-12","320 x 50","312892253","108939068"
"2015-12","640 x 360v","290154","108939068"
"2015-12","728 x 90","306228211","108939068"
"2015-12","970 x 250","10814848","108939068"
"2015-12","970 x 66","840154","108939068"
"2015-12","970 x 90","13440","108939068"
"2015-12","Out-of-page","5452428","108939068"
"2016-01","0 x 0","230220","108939068"
"2016-01","1 x 1","1894","108939068"
"2016-01","160 x 600","43480156","108939068"
"2016-01","300 x 250","235287564","108939068"
"2016-01","300 x 50","24189","108939068"
"2016-01","300 x 600","62761137","108939068"
"2016-01","320 x 50","214212129","108939068"
"2016-01","468 x 60","10550","108939068"
"2016-01","640 x 360v","308672","108939068"
"2016-01","728 x 90","198721748","108939068"
"2016-01","970 x 250","3360693","108939068"
"2016-01","970 x 90","23836","108939068"
"2016-01","Out-of-page","4486650","108939068"
"2016-02","0 x 0","213790","108939068"
"2016-02","1 x 1","80295805","108939068"
"2016-02","160 x 600","49409885","108939068"
"2016-02","300 x 250","315531564","108939068"
"2016-02","300 x 50","151866","108939068"
"2016-02","300 x 600","86909506","108939068"
"2016-02","320 x 50","168664011","108939068"
"2016-02","468 x 60","52675","108939068"
"2016-02","640 x 360v","577851","108939068"
"2016-02","728 x 90","241499635","108939068"
"2016-02","970 x 250","2911927","108939068"
"2016-02","970 x 90","107908","108939068"
"2016-02","Out-of-page","3392552","108939068"
"2016-03","0 x 0","213102","108939068"
"2016-03","1 x 1","264180140","108939068"
"2016-03","160 x 600","39406404","108939068"
"2016-03","300 x 250","374856195","108939068"
"2016-03","300 x 50","3425599","108939068"
"2016-03","300 x 600","102254722","108939068"
"2016-03","320 x 50","181300559","108939068"
"2016-03","468 x 60","46838","108939068"
"2016-03","640 x 360v","1011242","108939068"
